地址,经度,纬度,是否精确,可信度,地址类型,坐标系,错误
浦东新区张杨路3611号金桥国际商业广场,121.5748153,31.2589135,1,75,购物,wgs84,
浦东南路1138号上海湾广场,121.5103883,31.22925004,1,75,购物,wgs84,
浦东新区北艾路1782号大华锦绣国际,121.5182729,31.18205297,1,75,商务大厦,wgs84,
浦东新区金科路2889号长泰广场,121.5976451,31.20785575,1,75,购物,wgs84,
浦东新区康桥镇上南路6717号周浦永乐广场,121.5563448,31.12224601,1,75,购物,wgs84,
浦东新区东明路2719号,121.5225136,31.14458504,1,80,门址,wgs84,
浦东新区林展路298号,121.5016211,31.12791167,1,80,门址,wgs84,
浦东新区陆家嘴环路1318号,121.498999,31.2440261,1,80,门址,wgs84,
浦东新区沪南路2419号,121.5611089,31.15809511,1,80,门址,wgs84,
浦东新区丁香路880弄1-23号,121.5462189,31.22735438,1,80,餐饮,wgs84,
浦东新区高科东路515弄恒生万鹂商业广场,121.6472522,31.21343329,1,75,购物,wgs84,
静安区万荣路777号大宁音乐广场,121.4393667,31.2827739,1,75,购物,wgs84,
静安区芷江西路404号五月花生活广场,121.4530306,31.25844896,1,75,购物,wgs84,
长宁区长宁路88号KiNG88广场,121.42217,31.2301929,1,75,购物,wgs84,
长宁区虹桥路1665号星空广场,121.3879519,31.20257343,1,75,购物,wgs84,
长宁区天山西路138号,121.3684941,31.21907152,1,80,门址,wgs84,
长宁区长宁路1139号,121.4102775,31.21793785,1,80,门址,wgs84,
普陀区长寿路189弄购物中心,121.4360411,31.2439262,1,75,购物,wgs84,
普陀区武宁路101号,121.4182474,31.24023431,1,80,门址,wgs84,
普陀区场中路4048号,121.3923476,31.25102608,,20,区县,wgs84,
徐汇区田林东路75号汇阳广场,121.4287261,31.17617742,1,75,购物,wgs84,
徐汇区裕德路165号南洋1931商场,121.4292187,31.18754608,1,75,商务大厦,wgs84,
闵行区金汇路538号金汇四季广场,121.3693221,31.18381458,1,75,购物,wgs84,
闵行区漕宝路1574号星宝购物中心,121.3737104,31.15871318,1,75,购物,wgs84,
闵行区莲花南路1388弄7号新荟城购物中心,121.4061894,31.10162039,,80,门址,wgs84,
杨浦区昆明路555号宝地广场C座,121.5074889,31.26336809,1,75,商务大厦,wgs84,
杨浦区淞沪路1660号悠方购物公园,121.5033633,31.33156079,1,75,购物,wgs84,
杨浦区曲阳路800号曲阳商务中心,121.4869712,31.28902482,1,75,商务大厦,wgs84,
虹口区公平路99号白金湾商业广场,121.5017662,31.25282014,1,75,商务大厦,wgs84,
虹口区东长治路588号白玉兰广场,121.4932635,31.25072464,1,75,购物,wgs84,
虹口区周家嘴路887号上滨生活广场,121.4997707,31.2628089,1,75,购物,wgs84,
松江区九峰路118号平高广场,121.226673,31.01844685,,50,NoClass,wgs84,
松江区银翔路609号南翔东方伟业广场,121.2235835,31.03321959,,20,区县,wgs84,
嘉定区曹安公路1688号,121.3590507,31.25587509,1,80,门址,wgs84,
嘉定区城中路2号,121.2490409,31.37539705,1,80,门址,wgs84,
嘉定区城北路358号,121.233687,31.39227851,1,80,门址,wgs84,
黄浦区海潮路133号,121.4942541,31.21158453,1,80,门址,wgs84,
黄浦区徐家汇路618号,121.4631458,31.20889912,1,80,门址,wgs84,
黄浦区蒙自路757号,121.4775108,31.19965454,1,80,门址,wgs84,
宝山区逸仙路1328号6号楼宝山新业坊,121.4805197,31.32139787,,50,工业园区,wgs84,
宝山区大华一路198号,121.4093889,31.27168926,1,80,门址,wgs84,
浦东新区上南路168号,121.4884332,31.18490486,1,80,门址,wgs84,
宝山区牡丹江路1738号,121.4773024,31.40681001,1,80,门址,wgs84,
浦东新区自由贸易区博山路191号,121.5511121,31.24615933,1,80,门址,wgs84,
浦东新区昌里路333号,121.4873646,31.17560291,1,80,门址,wgs84,
浦东新区川沙路4645号,121.6927061,31.2002467,1,80,门址,wgs84,
闵行区江月路1850弄1号,121.5010624,31.08565963,1,75,购物,wgs84,
宝山区德都路325号,121.4195113,31.41647298,1,80,门址,wgs84,
徐汇区桂平路188号,121.4073256,31.15329276,1,80,门址,wgs84,
杨浦区国定路333号,121.5039216,31.29858181,1,80,门址,wgs84,
浦东新区启帆路628号,121.5869616,31.31427115,1,80,门址,wgs84,
宝山区淞滨路500号,121.4904132,31.3744577,1,80,门址,wgs84,
杨浦区靖宇东路266号,121.5314232,31.29106565,1,80,门址,wgs84,
黄浦区西藏南路666号,121.4788982,31.21925303,1,80,门址,wgs84,
闵行区漕宝路3489号,121.344792,31.15781547,1,80,门址,wgs84,
普陀区铜川路66号,121.4154315,31.25693609,1,80,门址,wgs84,
浦东新区金高路1071弄,121.6064421,31.28429899,1,75,宾馆,wgs84,
浦东新区东煦路666号,121.587199,31.29797721,1,80,门址,wgs84,
宝山区共和新路5000号,121.4390228,31.3240311,1,80,门址,wgs84,
嘉定区金沙江西路1288号,121.3166346,31.24386362,1,80,门址,wgs84,
徐汇区瑞平路230号,121.4511815,31.18394335,1,80,门址,wgs84,
松江区佘月路27号,121.2262593,31.10654376,1,80,门址,wgs84,
奉贤区航南公路5699号宝龙广场,121.4579633,30.93219902,1,75,购物,wgs84,
浦东新区滨江大道5139号,121.5076966,31.21344094,1,80,门址,wgs84,
松江区沪亭北路350弄1号,121.3124985,31.14811368,1,80,餐饮,wgs84,
浦东新区航头镇沪南路5588-5592号,121.5594808,31.16218561,,30,道路,wgs84,
金山区朱泾镇金龙新街708号,121.1595643,30.88819776,1,80,门址,wgs84,
杨浦区周家嘴路3680号环创中心,121.5386392,31.27994061,1,75,购物,wgs84,
闵行区七莘路1809弄七莘红点城,121.3562918,31.13529932,1,75,购物,wgs84,
宝山区场中路4098弄36号,121.4176729,31.30485082,,30,道路,wgs84,
虹口区凉城新村街道广灵二路259号mini万泰广场,121.4708876,31.28574973,,50,NoClass,wgs84,
浦东新区高青路2671号,121.5202505,31.16292065,1,80,门址,wgs84,
浦东新区高行镇金高路1882号金桥太茂,121.6036408,31.26893049,1,75,购物,wgs84,